county,site_code,site_name,latitude,longitude,sample_date,chemical_name,concentration_ppb,level_of_quantification_ppb,method_detection_level_ppb,sample_type,study_cd,study_description,study_weblink,data_source,agency,record_id
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-12-16,dinotefuran,0.0047,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7260461
Sacramento,34_91,Sacramento River at Hood Monitoring Station Platform,38.36771,-121.5205,2017-01-09,imidacloprid,0.0052,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7257680
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-12-16,clothianidin,0.0045,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7262972
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2017-01-09,imidacloprid,0.0291,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7259012
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2016-12-16,imidacloprid,0.0171,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7260474
San Joaquin,39_95,San Joaquin R at Buckley Cove. CEDEN: 544LSAC13,37.97183,-121.37362,2017-01-09,imidacloprid,0.0093,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7258408
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2012-08-16,imidacloprid,0.51,0.08,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,USGS California Water Science Center,7127996
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2016-04-07,clothianidin,0.004,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7259926
Sacramento,34_25,Arcade C Nr Del Paso Heights California_USGS NAWQA site,38.64196,-121.382,2005-01-12,imidacloprid,0.179,0.02,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7131988
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2019-05-07,imidacloprid,0.075,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7152403
Contra Costa,07_117,San Ramon C A La Gonda Way A Danville Ca,37.82571,-122.00354,2017-04-26,imidacloprid,0.0192,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175421
Stanislaus,50_28,Orestimba Creek at River Road (trib. to SJR),37.41397,-121.01502,2014-12-22,imidacloprid,0.0635,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142536
Sacramento,34_25,Arcade C Nr Del Paso Heights California_USGS NAWQA site,38.64196,-121.382,2005-08-22,imidacloprid,0.08,0.02,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7132637
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-02-26,imidacloprid,0.0185,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7252401
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2015-07-15,imidacloprid,0.0264,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7139516
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2018-12-19,imidacloprid,0.0612,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7235885
Monterey,27_12,Rec Ditch at San Jon Rd,36.70487,-121.70506,2017-03-27,imidacloprid,0.17,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142527
Monterey,27_141,Alisal C A Fairview Ave Nr Salinas Ca,36.66751,-121.62742,2017-03-13,imidacloprid,0.227,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142589
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2017-06-13,imidacloprid,0.0083,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7265743
Sacramento,34_25,Arcade C Nr Del Paso Heights California_USGS NAWQA site,38.64196,-121.382,2005-05-12,imidacloprid,0.15,0.02,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7132282
Sacramento,34_25,Arcade C Nr Del Paso Heights California_USGS NAWQA site,38.64196,-121.382,2005-08-12,imidacloprid,0.11,0.02,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7132558
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2015-06-09,imidacloprid,0.0187,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7139881
Sutter,51_25,Cross Canal at Garden Highway,38.78072,-121.60405,2016-10-25,imidacloprid,0.0061,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,Sacramento Regional County Sanitation District,7256409
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-08-30,acetamiprid,0.0116,0.0033,0.0033,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258179
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-07-26,clothianidin,0.0209,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258262
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-02-04,dinotefuran,0.0189,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7263884
Monterey,27_59,Tembladero Sl. at Preston,36.76518,-121.75825,2014-03-03,acetamiprid,0.0395,0.0036,0.0036,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257448
Solano,48_190,DELTA RMP YOLO-007,38.27122,-121.703,2019-02-05,dinotefuran,0.0212,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7266074
Yolo,57_58,Toe Drain Nr Babel Slough Nr Freeport Ca,38.47478,-121.58822,2017-06-28,imidacloprid,0.0335,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256860
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-07-30,imidacloprid,0.0074,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260972
Solano,48_186,DELTA RMP YOLO-003,38.26105,-121.748,2018-12-19,imidacloprid,0.0039,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260968
Yolo,57_73,DELTA RMP YOLO-010,38.46178,-121.589,2019-04-30,imidacloprid,0.0212,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260238
Yolo,57_22,Toe Drain at NE corner of Little Holland; Regional Board Irr. Lands Mon. site code: 510TDNLHT,38.3491,-121.645,2019-05-20,imidacloprid,0.006,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256494
San Joaquin,39_50,French Camp Slough @ Airport Way; Regional Board Irr. Lands Mon. site code: 531SJC504,37.8813,-121.2482,2015-07-21,thiamethoxam,0.0057,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"Michael L Johnson LLC, Ecosystems Consulting, Davis, CA",7261341
San Joaquin,39_50,French Camp Slough @ Airport Way; Regional Board Irr. Lands Mon. site code: 531SJC504,37.8813,-121.2482,2016-07-19,imidacloprid,0.0146,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"Michael L Johnson LLC, Ecosystems Consulting, Davis, CA",7263531
San Joaquin,39_50,French Camp Slough @ Airport Way; Regional Board Irr. Lands Mon. site code: 531SJC504,37.8813,-121.2482,2016-03-07,imidacloprid,0.0132,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"Michael L Johnson LLC, Ecosystems Consulting, Davis, CA",7262075
San Joaquin,39_50,French Camp Slough @ Airport Way; Regional Board Irr. Lands Mon. site code: 531SJC504,37.8813,-121.2482,2015-07-21,imidacloprid,0.0074,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"Michael L Johnson LLC, Ecosystems Consulting, Davis, CA",7262072
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-11-03,imidacloprid,0.0782,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7267178
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2015-05-04,imidacloprid,0.0757,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7262672
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-02-04,imidacloprid,0.0315,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7264861
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-08-18,dinotefuran,0.0088,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7264858
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-08-18,imidacloprid,0.0793,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7267580
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-05-19,imidacloprid,0.0408,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7266686
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2015-05-04,thiamethoxam,0.005,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7266683
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-08-18,thiamethoxam,0.005,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,"University of California, Davis",7267579
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-06-17,imidacloprid,0.0147,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260971
Sutter,51_39,Lower Snake R. at Nuestro Rd; Regional Board Irr. Lands Mon. site code: 515LSRANR,39.1852,-121.7035,2016-03-08,imidacloprid,0.004,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257109
Santa Clara,43_92,SAN FRANCISCO BAY A STEVENS C NR MOUNTAIN VIEW CA,37.45167,-122.06194,2017-06-07,dinotefuran,0.0074,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7262685
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-02-04,imidacloprid,0.0977,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7261700
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-08-07,clothianidin,0.0099,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256674
Yolo,57_58,Toe Drain Nr Babel Slough Nr Freeport Ca,38.47478,-121.58822,2016-08-09,imidacloprid,0.0051,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257588
Solano,48_187,DELTA RMP SACR-002,38.26207,-121.651,2018-12-19,imidacloprid,0.0076,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260605
Monterey,27_59,Tembladero Sl. at Preston,36.76518,-121.75825,2014-03-03,imidacloprid,0.143,0.0049,0.0049,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7261593
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-09-16,imidacloprid,0.0112,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7261697
Monterey,27_59,Tembladero Sl. at Preston,36.76518,-121.75825,2014-03-03,clothianidin,0.0382,0.0062,0.0062,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256917
Santa Clara,43_95,SAN FRANCISCO BAY NR EMBARCADERO RD A PALO ALTO CA,37.46278,-122.105,2017-06-05,imidacloprid,0.004,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7259410
Monterey,27_59,Tembladero Sl. at Preston,36.76518,-121.75825,2014-03-03,thiamethoxam,0.19,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258544
San Joaquin,39_95,San Joaquin R at Buckley Cove. CEDEN: 544LSAC13,37.97183,-121.37362,2019-02-06,imidacloprid,0.0157,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260243
Solano,48_190,DELTA RMP YOLO-007,38.27122,-121.703,2019-02-05,thiamethoxam,0.0042,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7261694
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2019-04-29,imidacloprid,0.0067,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7262066
Solano,48_194,DELTA RMP YOLO-001,38.27952,-121.661,2018-12-19,imidacloprid,0.0048,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260967
Sutter,51_39,Lower Snake R. at Nuestro Rd; Regional Board Irr. Lands Mon. site code: 515LSRANR,39.1852,-121.7035,2016-07-19,clothianidin,0.0067,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7255865
Sacramento,34_122,DELTA RMP SACR-025,38.294,-121.58244,2019-02-06,imidacloprid,0.0048,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257102
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2017-11-01,imidacloprid,0.0102,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258932
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2018-12-18,imidacloprid,0.0365,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7264981
Solano,48_182,DELTA RMP YOLO-006,38.25214,-121.676,2019-02-05,imidacloprid,0.0062,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260606
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-07-10,clothianidin,0.0181,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256067
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-07-26,imidacloprid,0.0136,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7256622
Yolo,57_62,Knights Landing Ridge Cut A Knights Landing Ca,38.79353,-121.72544,2018-07-10,imidacloprid,0.0052,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257716
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2017-07-13,imidacloprid,0.0233,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7257226
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2017-07-13,thiamethoxam,0.006,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258296
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2018-07-10,thiamethoxam,0.0036,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7258054
Santa Clara,43_94,ALVISO SLOUGH A MOUTH NR ALVISO CA,37.46222,-122.02194,2017-06-06,imidacloprid,0.0062,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260139
Sacramento,34_120,DELTA RMP SACR-003,38.23917,-121.521,2019-02-06,imidacloprid,0.0048,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7259272
Sacramento,34_116,DELTA RMP SACR-001,38.16498,-121.621,2018-12-19,imidacloprid,0.0101,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7261696
Solano,48_184,DELTA RMP YOLO-005,38.25905,-121.668,2019-02-05,imidacloprid,0.0057,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7259392
Solano,48_191,DELTA RMP YOLO-008,38.2743,-121.674,2019-02-05,imidacloprid,0.0051,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U S Geological Survey,7260969
Yolo,57_61,Tule Canal A Rd 22 Nr Woodland Ca,38.67636,-121.64397,2016-08-02,imidacloprid,0.004,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,Calif. Dept. Of Water Resources (Dwr),7265236
